Plot,FT,Direction,PME,TotalRootBiomass,PercentNecro,SRL,SRA,D,RTD,Tips,rN,rC,rC_percent,rN_percent,rAl,rCa,rFe,rK,rMg,rP,BA,BA_ECM,rC_N,rN_P,rC_P
W17,Mature secondary,NE,141.0014781966,6.079,0.353676591544662,25.6762359307359,334.469047619048,0.45815,0.201615241978715,2.79334700614296,15.5,464.6,46.46,1.55,1.0608,6.408,0.8892,2.5032,2.4444,0.3492,23.0648075,0,34.9407751604844,98.1907625593199,3430.86135742171
W17,Mature secondary,SW,50.3845308723358,2.452,0.0289559543230016,19.0219459459459,208.562162162162,0.37245,0.4067971599005,1.83010227882128,10.8,413.9,41.39,1.08,4.67058823529412,5.49411764705882,0.942352941176471,1.18117647058824,1.12235294117647,0.285882352941176,23.0648075,0,44.6741912603695,83.5698412698412,3733.41507248761
W17,Mature secondary,SE,38.225900116144,2.146,0.0862068965517241,20.1143392857143,272.65,0.4686,0.254399861739206,2.43501394362541,11.8,439.4,43.94,1.18,1.9776,7.3956,1.2396,3.4176,3.384,0.3948,23.0648075,0,43.4073300498173,66.1177449703283,2869.99477807669
W20,Mature secondary,C,157.873357228196,4.715,0.106256627783669,28.2568531746032,364.501587301587,0.43155,0.224416017797553,1.64858177569548,15.8,426.8,42.68,1.58,13.7808,4.4664,5.7084,3.6612,2.9328,0.5052,18.422554575,0,31.488527492912,69.1841986200659,2178.50854032303
W20,Mature secondary,NW,61.9426523297491,3.632,0.328469162995595,12.3417290322581,192.150591397849,0.5203,0.359857925353725,1.58130132274613,13.6,446.1,44.61,1.36,11.742,2.6676,5.6088,2.5296,1.0884,0.3696,18.422554575,0,38.2365185874517,81.3991960420532,3112.42187246559
W20,Mature secondary,NE,79.1311827956989,3.066,0.475864318330072,11.17199,205.410538461538,0.6031,0.235667799471358,1.75128535496915,7,375.3,37.53,0.7,7.3872,1.3008,6.672,0.6684,0.2448,0.1872,18.422554575,0,62.4979184013322,82.719017094017,5169.76638058028
W20,Mature secondary,SW,102.440860215054,2.738,0.0719503287070855,18.9132595238095,289.689642857143,0.5128,0.191966022224325,2.83480239167056,16,420.1,42.01,1.6,15.8088,3.2028,8.232,1.8588,0.918,0.4236,18.422554575,0,30.606786011657,83.5559152839601,2557.37801910431
W20,Mature secondary,SE,131.89247311828,5.058,0.0848161328588375,17.6807857142857,273.809761904762,0.52835,0.202842883006312,2.56016516638666,14,416.1,41.61,1.4,10.2264,3.9876,6.0084,2.064,1.6764,0.51,18.422554575,0,34.6461282264779,60.7254901960783,2103.90311994906
W29,Mature secondary,C,2.98581560283688,3.63,0.155371900826446,40.8429887820513,364.873237179487,0.3104,0.30868719413964,2.08288317399565,15,478.1,47.81,1.5,2.6112,6.5208,0.762,1.968,1.4892,0.534,33.810173575,0,37.1545933943936,62.1388443017657,2308.74349402964
W29,Mature secondary,NW,2.91972920696325,2.631,0.117065754465983,39.2375303030303,414.049747474748,0.3567,0.227239725139375,1.80521883434327,13.2,398.2,39.82,1.32,3.94857142857143,5.8,1.28,1.16,2.03142857142857,0.402857142857143,33.810173575,0,35.165140160977,72.4829787234042,2548.87410609362
W29,Mature secondary,NE,3.86127659574468,4.203,0.262431596478706,40.3749156521739,364.200956521739,0.3101,0.295274874781455,2.3932120949611,15.5,454.2,45.42,1.55,7.8816,5.2548,1.938,1.9716,1.8252,0.4572,33.810173575,0,34.1586312481534,74.9960942382203,2561.76392813513
W29,Mature secondary,SW,6.10295126973233,4.256,0.315789473684211,24.443844516129,257.572,0.36445,0.343707139141128,3.26021433527443,20.2,495.1,49.51,2.02,3.2664,6.4836,2.1936,1.1376,0.6768,0.4764,33.810173575,0,28.5710752590664,93.7978289552598,2679.90483021776
W29,Mature secondary,SE,1.47086031452359,6.346,0.174755751654586,26.8537633779264,304.685033444816,0.3894,0.292582652886427,2.38019727590144,16.3,451.5,45.15,1.63,4.4388,8.3868,1.6764,2.7936,1.2336,0.408,33.810173575,0,32.2890433840921,88.377275910364,2853.61769603763
W32,Mature secondary,C,34.2260827602847,3.237,0.0861909175162187,31.5923538647343,333.210024154589,0.36025,0.249525974784554,1.87470059643644,12.2,451.6,45.16,1.22,5.3532,5.862,3.6864,4.956,2.0904,0.4164,19.5156521,0,43.149834154598,64.8130231919856,2796.67120179229
W32,Mature secondary,NW,31.4457529441243,3.063,0.256611165523996,25.7462724358974,276.927243589744,0.37195,0.290754686314877,3.11424554616821,14,454.6,45.46,1.4,7.8516,6.6564,5.0292,4.0788,3.39,0.534,19.5156521,0,37.8517901748543,57.9962546816481,2195.26206313716
W32,Mature secondary,NE,21.9610064674503,3.636,0.310781078107811,23.0996739130435,254.863043478261,0.3758,0.268881783025185,3.07751275839866,11.2,456.1,45.61,1.12,7.22138613861386,9.73188118811881,3.13425742574257,2.17188118811881,2.3239603960396,0.441980198019802,19.5156521,0,47.4708576186511,56.0568100358422,2661.06484776724
W32,Mature secondary,SW,59.5202842759846,6.683,0.104294478527607,31.4127727272727,349.106818181818,0.37805,0.23375217126486,2.11694085391203,13,450.6,45.06,1.3,12.6768,4.5492,6.9756,4.1364,2.8428,0.4932,19.5156521,0,40.4047908793954,58.3087127795159,2355.95134630307
W32,Mature secondary,SE,56.2826966735762,2.583,0.279907084785134,21.4512196969697,263.431060606061,0.41565,0.28651506369138,2.90757295534812,13.6,455.2,45.52,1.36,9.53684210526316,6.63315789473684,4.54894736842105,2.17894736842105,1.85842105263158,0.461052631578947,19.5156521,0,39.0165058529656,65.2531637312461,2545.95044464469
W42,Mature secondary,C,22.6164079822616,3.244,0.355117139334155,18.9107828571429,264.531333333333,0.47185,0.260020221675347,3.04249419345513,13.5,444.5,44.45,1.35,7.2444,3.2232,3.2472,2.5944,1.6044,0.4428,28.5052802,0,38.3815955839269,67.4433797909409,2588.58452794908
